Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.711,0.7742,0.6737,0.7278,0.6997,0.422,0.4232
0.721,0.7785,0.6852,0.7379,0.7106,0.442,0.4432
0.7282,0.7884,0.6725,0.7565,0.7121,0.4563,0.4591
0.7082,0.7749,0.6701,0.7251,0.6965,0.4163,0.4175
0.7178,0.7805,0.6713,0.7399,0.7039,0.4355,0.4374
0.7141,0.7762,0.6789,0.7299,0.7035,0.4281,0.4292
0.719,0.7809,0.6806,0.7368,0.7076,0.4379,0.4392
0.7147,0.7718,0.6883,0.7263,0.7068,0.4294,0.43
0.7239,0.7905,0.6904,0.7396,0.7141,0.4477,0.4487
0.7284,0.7949,0.6863,0.749,0.7163,0.4567,0.4583
0.7186,0.7811,0.6797,0.7369,0.7071,0.4372,0.4386
0.0065,0.0073,0.0072,0.0097,0.006,0.013,0.0133
